Symbol,Date,Open,High,Low,Close,Percent Change,Volume
HBL,10/16/2023,199.1,200,198.5,199,-0.0055,"16,355.00"
HBL,10/12/2023,201,203,199,200.1,-0.0094,"31,001.00"
HBL,10/11/2023,202.4,202.4,199.5,202,0.009,"21,752.00"
HBL,10/10/2023,200,202.9,199.7,200.2,-0.0084,"31,945.00"
HBL,10/9/2023,202,203,200,201.9,-0.0054,"32,454.00"
HBL,10/8/2023,204,204.3,201,203,-0.0039,"36,272.00"
HBL,10/5/2023,204.5,204.5,203,203.8,0.0015,"34,442.00"
HBL,10/4/2023,202,205.6,200.7,203.5,0.0025,"40,489.00"
HBL,10/3/2023,202,205,202,203,-0.0049,"24,192.00"
HBL,10/2/2023,200.1,205,200.1,204,0.001,"31,354.00"
HBL,10/1/2023,204,205.5,201.4,203.8,-0.0049,"29,652.00"
HBL,9/27/2023,209,209,203.6,204.8,-0.0082,"31,050.00"
HBL,9/26/2023,207.4,209,205,206.5,0.0024,"30,937.00"
HBL,9/25/2023,203,206.9,202,206,0.0034,"49,269.00"
HBL,9/24/2023,207,209,205,205.3,-0.0106,"26,117.00"
HBL,9/21/2023,206,209,205.7,207.5,0.0192,"43,682.00"
HBL,9/19/2023,203.5,204,202.1,203.6,0.003,"10,496.00"
HBL,9/18/2023,202,204.9,200,203,-0.0059,"20,127.00"
HBL,9/17/2023,209,209,204.2,204.2,-0.0087,"18,424.00"
HBL,9/13/2023,207,208.9,204.2,206,-0.0043,"20,550.00"
HBL,9/12/2023,207.3,207.9,205,206.9,0.0019,"21,943.00"
HBL,9/11/2023,203,206.9,203,206.5,0.0172,"21,205.00"
HBL,9/10/2023,200.7,204,200.7,203,0.0115,"21,275.00"
HBL,9/7/2023,202,203,200,200.7,-0.0123,"29,794.00"
HBL,9/5/2023,204,205.9,203,203.2,-0.0064,"25,567.00"
HBL,9/4/2023,204.2,207,203,204.5,0.0015,"25,570.00"
HBL,9/3/2023,209.5,209.5,204,204.2,-0.0135,"25,188.00"
HBL,8/30/2023,206,212.1,204,207,0.0122,"31,648.00"
HBL,8/29/2023,206,207,203,204.5,-0.0106,"21,504.00"
HBL,8/28/2023,206,207.8,204.1,206.7,0.0034,"16,197.00"
HBL,8/27/2023,208,208,205,206,-0.0096,"19,371.00"
HBL,8/24/2023,209.9,211.3,206.6,208,-0.0091,"21,966.00"
HBL,8/23/2023,209,212.5,206.3,209.9,0.0175,"29,147.00"
HBL,8/22/2023,209,209,203,206.3,0.0015,"17,324.00"
HBL,8/21/2023,204.5,206.9,204.1,206,0.0039,"39,980.00"
HBL,8/20/2023,208,209,204,205.2,-0.0135,"42,722.00"
HBL,8/17/2023,210,211,207,208,-0.0005,"38,470.00"
HBL,8/16/2023,212,212,205.3,208.1,-0.0316,"11,988.00"
HBL,8/15/2023,213.5,215,208,214.9,0.0042,"39,865.00"
HBL,8/14/2023,212.6,215.8,207.3,214,0.0171,"48,709.00"
HBL,8/13/2023,209,212.7,209,210.4,0.014,"116,300.00"
HBL,8/10/2023,206,208,204,207.5,0.0122,"31,528.00"
HBL,8/9/2023,203.1,206.1,202,205,0,"39,039.00"
HBL,8/8/2023,207,209,204.3,205,-0.0097,"45,616.00"
HBL,8/7/2023,212,212,205.2,207,-0.0236,"86,896.00"
HBL,8/6/2023,219,219,209,212,-0.0493,"128,136.00"
HBL,8/3/2023,215,227,215,223,0.0183,"46,852.00"
HBL,8/2/2023,218,221.9,216.8,219,0.0046,"41,444.00"
HBL,8/1/2023,220,225,217,218,-0.0224,"29,601.00"
HBL,7/31/2023,217.4,226.4,217.4,223,0.0054,"77,234.00"
HBL,7/30/2023,222,224,215,221.8,0,"50,083.00"
HBL,7/27/2023,226,226,220,221.8,-0.0094,"70,499.00"
HBL,7/26/2023,222.1,226,221.2,223.9,0.004,"47,565.00"
HBL,7/25/2023,230,230,221.7,223,-0.0346,"52,982.00"
HBL,7/24/2023,240,240,225.4,231,-0.0335,"124,468.00"
HBL,7/23/2023,226,240,224.9,239,0.0674,"148,639.00"
HBL,7/20/2023,231,231,223,223.9,-0.0115,"76,892.00"
HBL,7/19/2023,223,230,217,226.5,0.0249,"118,096.00"
HBL,7/18/2023,220,223,219,221,0.0184,"66,991.00"
HBL,7/17/2023,213,219,210,217,0.0197,"49,453.00"
HBL,7/16/2023,211.9,213,208,212.8,0.0187,"24,838.00"
HBL,7/13/2023,209,212,208.9,208.9,0.0043,"19,046.00"
HBL,7/12/2023,211,211,206,208,0.0048,"37,502.00"
HBL,7/11/2023,208.1,209.7,206.2,207,-0.0096,"38,804.00"
HBL,7/10/2023,208.1,212,208.1,209,0.0043,"30,893.00"
HBL,7/9/2023,207,210,207,208.1,0.0077,"21,628.00"
HBL,7/6/2023,210,210,206.5,206.5,-0.012,"30,411.00"
HBL,7/5/2023,212,212.9,208.3,209,-0.0038,"52,219.00"
HBL,7/4/2023,211,213,208.6,209.8,-0.001,"44,303.00"
HBL,7/3/2023,212,213,209.1,210,-0.0076,"54,560.00"
HBL,7/2/2023,216,216.9,211,211.6,-0.0158,"38,932.00"
HBL,6/28/2023,221,223,215,215,-0.0227,"61,985.00"
HBL,6/27/2023,213.9,221,211.8,220,0.0427,"117,218.00"
HBL,6/26/2023,213.7,217,211,211,-0.0047,"60,631.00"
HBL,6/25/2023,212.5,214,209,212,0,"100,702.00"
HBL,6/22/2023,217,217,211,212,-0.0093,"37,402.00"
HBL,6/21/2023,215,216,213.1,214,-0.006,"33,020.00"
HBL,6/20/2023,219,219,213.1,215.3,-0.0074,"38,329.00"
HBL,6/19/2023,217,220,215.8,216.9,-0.0028,"29,716.00"
HBL,6/18/2023,219,219,214.9,217.5,-0.0023,"91,602.00"
HBL,6/15/2023,219,221.9,217,218,-0.0091,"49,960.00"
HBL,6/14/2023,216.1,222,216,220,0.0073,"65,176.00"
HBL,6/13/2023,216,219,213,218.4,0.0168,"48,169.00"
HBL,6/12/2023,217.2,217.2,213.1,214.8,-0.0009,"33,137.00"
HBL,6/11/2023,215,216.9,214,215,0.0051,"53,625.00"
HBL,6/8/2023,214,215,212.3,213.9,-0.0009,"36,335.00"
HBL,6/7/2023,214.1,217,214,214.1,-0.0042,"45,588.00"
HBL,6/6/2023,217,217,212.7,215,0.0037,"55,213.00"
HBL,6/5/2023,221.3,221.3,214.2,214.2,-0.0129,"24,536.00"
HBL,6/4/2023,215,221.9,215,217,0.0188,"23,636.00"
HBL,6/1/2023,217.9,217.9,210.8,213,-0.0093,"31,677.00"
HBL,5/31/2023,215,219,212,215,-0.0056,"56,079.00"
HBL,5/30/2023,224,224,215,216.2,-0.0348,"47,558.00"
HBL,5/28/2023,221,243.1,220.1,224,0.009,"61,725.00"
HBL,5/24/2023,223,225,220.2,222,0,"42,736.00"
HBL,5/23/2023,220,222,218,222,0.0183,"70,135.00"
HBL,5/22/2023,220,220,215,218,-0.0046,"39,778.00"
HBL,5/21/2023,222,222.9,218,219,-0.0045,"30,542.00"
HBL,5/18/2023,216.6,220.3,216,220,0.0087,"29,286.00"
HBL,5/17/2023,220,220.4,216.3,218.1,0.0051,"36,503.00"
HBL,5/16/2023,214.1,219,213,217,0.0042,"76,081.00"
HBL,5/15/2023,216,220,215,216.1,-0.0001,"47,829.00"
HBL,5/14/2023,221,221,216,218,0,"48,991.00"
HBL,5/11/2023,217,219.2,216,218,0.0046,"14,531.00"
HBL,5/10/2023,220,220,216.2,217,-0.0046,"24,724.00"
HBL,5/9/2023,218,220,216.1,218,0.0046,"11,317.00"
HBL,5/8/2023,219.9,219.9,217,217,-0.0091,"18,909.00"
HBL,5/7/2023,225,226,218,219,-0.0223,"10,154.00"
HBL,5/4/2023,224,224,217.4,224,0.0182,"23,693.00"
HBL,5/3/2023,218.5,222.2,218.5,220,-0.0086,"14,160.00"
HBL,5/2/2023,226,227,218,221.9,-0.0049,"31,718.00"
HBL,4/30/2023,221.5,238.6,221,223,0.0068,"64,767.00"
HBL,4/27/2023,221,242,218,221.5,0.0064,"17,179.00"
HBL,4/26/2023,220.1,225,220.1,220.1,-0.0086,"20,167.00"
HBL,4/25/2023,225,225,220.9,222,0.0005,"19,314.00"
HBL,4/24/2023,220.5,223,216.3,221.9,-0.0072,"15,853.00"
HBL,4/23/2023,224,228,219.2,223.5,-0.0089,"31,353.00"
HBL,4/20/2023,231,231,225.5,225.5,-0.0075,"26,539.00"
HBL,4/19/2023,228,230,226.2,227.2,-0.0035,"27,477.00"
HBL,4/18/2023,225,228,223,228,0.0031,"8,529.00"
HBL,4/17/2023,234,234,227.3,227.3,-0.0232,"18,972.00"
HBL,4/16/2023,234,234,227.7,232.7,0.0074,"21,878.00"
HBL,4/13/2023,237.7,239.7,231,231,-0.017,"83,922.00"
HBL,4/12/2023,225,236,222.7,235,0.0571,"48,115.00"
HBL,4/11/2023,219,222.5,218.1,222.3,0.0174,"33,480.00"
HBL,4/10/2023,216,221,215,218.5,0.0116,"20,244.00"
HBL,4/9/2023,220.5,220.5,215.3,216,-0.0164,"35,937.00"
HBL,4/6/2023,220,220,216,219.6,0.0143,"25,004.00"
HBL,4/5/2023,213.5,217.9,212,216.5,0.0112,"35,179.00"
HBL,4/4/2023,217,221,213.2,214.1,-0.0259,"119,020.00"
HBL,4/3/2023,221,221.9,217.4,219.8,-0.0077,"39,069.00"
HBL,4/2/2023,225,228.5,220,221.5,-0.0156,"35,049.00"
HBL,3/30/2023,230,230,223,225,-0.0084,"23,758.00"
HBL,3/29/2023,230.9,230.9,225,226.9,-0.0009,"28,441.00"
HBL,3/28/2023,228.5,232.9,226.6,227.1,0.0093,"22,130.00"
HBL,3/27/2023,230,230,221,225,-0.0088,"64,668.00"
HBL,3/26/2023,228,234,226.1,227,-0.013,"22,478.00"
HBL,3/23/2023,233,236,228,230,-0.0254,"49,382.00"
HBL,3/22/2023,242,242,233.3,236,-0.0126,"31,158.00"
HBL,3/20/2023,233,240,233,239,0.0127,"36,318.00"
HBL,3/19/2023,233,239,232,236,0,"15,414.00"
HBL,3/16/2023,231,238,225.7,236,0.0043,"18,022.00"
HBL,3/15/2023,236.8,236.8,230,235,0.0121,"68,992.00"
